title,votes,num_answer,views,tags,accepted,q_time,ac_ans_time,ua,users
Why is processing a sorted array faster than processing an unsorted array?,26988,25,1.8m,java c++ performance cpu-architecture branch-prediction ,True,2012-06-27T13:51:36,2012-06-27T13:56:42,False,"['GManNickG', 'GManNickG', 'Mysticial', 'Daniel Fischer', 'WiSaGaN', 'vulcan raven', 'caf', 'atlaste', 'Saqlain', 'steveha', 'user1196549', 'Harsh Sharma', 'Surt', 'rkachach', 'Maciej', 'Alireza', 'ForeverLearning', 'Eugene', 'Tony Tannous', 'Luke Hutchison', 'Yochai Timmer', 'omkaartg', 'Shan', 'user2297550', 'hatirlatici', 'Geek26']"
"Is Java ""pass-by-reference"" or ""pass-by-value""?",7680,90,2.6m,java methods parameter-passing pass-by-reference pass-by-value ,False,2008-09-02T20:14:29,No ac,False,[]
Why is subtracting these two epoch-milli Times (in year 1927) giving a strange result?,7487,10,786k,java date timezone ,True,2011-07-27T08:15:58,2011-07-27T08:31:10,False,"['Freewind', 'Jon Skeet', 'Michael Borgwardt', 'Raedwald', 'PatrickO', 'Rajshri', 'user1050755', 'Daniel C. Sobral', 'user1050755', 'new QOpenGLWidget', 'Samuel Marchant']"
How do I read / convert an InputStream into a String in Java?,4641,64,2.6m,java string io stream inputstream ,True,2008-11-21T16:47:40,2008-11-21T16:54:20,True,"['Johnny Maelstrom', 'Slava Vedenin', 'Harry Lime', 'Pavel Repin', 'Chinnery', 'sampathpremarathna', 'Sakuraba', 'Tagir Valeev', 'TacB0sS', 'Jon Moore', 'Drew Noakes', 'Ilya Gazman', 'Simon Kuang', 'Brett H', 'czerny', 'TKH', 'Jack', 'DJDaveMark', 'jmehrens', 'Hai Zhang', 'Thamme Gowda', 'Daniel De León', 'czerny', 'laksys', 'James', 'Alex', 'Matt Shannon', 'Raghu K Nair', 'libnull-dev', 'Christian Rädel']"
What different options are there to avoid NullPointerException in Java?,4357,66,1.4m,java nullpointerexception null ,True,2008-11-07T08:31:40,2008-11-07T12:06:40,False,[]
What are the differences between a HashMap and a Hashtable in Java?,4271,35,1.7m,java collections hashmap hashtable ,True,2008-09-02T20:12:00,2008-09-02T23:02:37,False,"['dmanxiii', 'Josh Brown', 'serg10', 'aberrant80', 'sravan', 'Apocalisp', 'pierrotlefou', 'roottraveller', 'Sujan', 'matt b', 'Miles D', 'izb', 'Neerja', 'pwes', 'alain.janinm', 'pkaeding', 'SkyWalker', 'Yash', 'Tim Howland', 'Rahul Tripathi', 'Kostas Kryptos', 'user1923551', 'Shreyos Adikari', 'Ankit', 'raja', 'jontejj', 'JegsVala', 'DeC', 'IntelliJ Amiya', 'PetarMI', 'Night0']"
Create ArrayList from array,4056,42,1.8m,java arrays arraylist type-conversion ,True,2008-10-01T14:38:32,2008-10-01T14:39:12,False,"['Ron Tuffin', 'Tom', 'Alex Miller', 'haylem', 'Tim Büthe', 'Bill the Lizard', 'Peter Tseng', 'Ali Dehghani', 'Kip', 'yamilmedina', 'Nicolas Zozol', 'MarekM', 'nekperu15739', 'Bohdan', 'Andrii Abramov', 'js_248', 'jemystack', 'Vaseph', 'Vikrant Kashyap', 'A1m', 'spencer.sm', 'Devendra Lattu', 'Hemin', 'Toothless Seer', 'Adit A. Pillai', 'rashedcs', 'Kavinda Pushpitha', 'Arpan Saini', 'Sumit Das', 'Himanshu Dave', 'Manifest Man']"
How do I generate random integers within a specific range in Java?,4051,72,5.1m,java random integer ,False,2008-12-12T18:20:57,No ac,False,"['user42155', 'Greg Case', 'TJ_Fischer', 'jackson', 'krosenvold', 'Alexis C.', 'Bill the Lizard', 'hexabunny', 'andrew', 'Matt R', 'Abel Callejo', 'Joel Sjöstrand', 'Chinnery', 'Simon', 'Oleksandr Pyrohov', 'Michael Myers', 'Sunil Chawla', 'gifpif', 'Lawakush Kurmi', 'Prof Mo', 'Luke Taylor', 'sam', 'user2427', 'user5150135', 'Garrett Hall', 'gerardw', 'Hospes', 'AZ_', 'Yakiv Mospan', 'grep', 'ganesh']"
Proper use cases for Android UserManager.isUserAGoat()?,3977,12,360k,java android usermanager ,True,2012-11-14T08:34:01,2012-11-14T08:40:30,False,"['Ovidiu Latcu', 'meh', 'djechlin', 'user479870', 'higuaro', 'Lance Nanek', 'rainer198', 'Mark Whitaker', 'rickyduck', 'KDEx', 'j.c', 'Empire of E', 'Nobody Tells The Truth']"
How do I efficiently iterate over each entry in a Java Map?,3915,46,3.2m,java dictionary collections iteration ,True,2008-09-05T21:12:48,2008-09-05T21:15:52,False,"['iMack', 'ScArcher2', 'Slava Vedenin', 'The Coordinator', 'pkaeding', 'Tom Hawtin - tackline', 'serg', 'serg10', 'Darshan Patel', 'ckpwong', 'Chris Dail', 'Taras Melnyk', 'Donald Raab', 'akhil_mittal', 'Leigh Caldwell', 'Nitin Mahesh', 'Georgios Syngouroglou', 'Rupesh Yadav', 'abods', 'Witold Kaczurba', 'bluehallu', 'Basil Bourque', 'dmunozfer', 'anand krish', 'Fathah Rehman P', 'Fadid', 'anandchaugule', 'Learner', 'ABHAY JOHRI', 'Sajad NasiriNezhad', 'Utpal Kumar']"
